Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),GmWt_1
"BABYFOOD,CRL,MXD,W/HONEY,PREP W/WHL MILK",74.2,115,5,3.6,1.2,15.9,,,294,11.27,28,184,171,48,0.72,0.064,,,,0.447,0.583,6.26,0.443,0.067,11,0,11,11,,0.3,,,,,,,,,,,,,,,,,28.35
"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,PREP W/WHL MILK",74.4,112,6.9,3.9,1.5,13.4,,,223,14.42,37,166,346,58,0.76,0.166,,,,0.655,0.847,3.987,,0.092,28,0,28,28,,0.35,,,,,,,,,,,,,,,,,28.35
"BABYFOOD,CRL,RICE,W/BANANAS,PREP W/WHL MILK",81.81,86,3.57,3.32,0.81,10.49,0.1,6.13,156,3.63,20,109,180,47,0.46,0.042,0.004,4.3,0.2,0.684,0.444,1.849,0.345,0.085,6,0,6,6,15.2,0.43,152,43,42,1,7,0,0,3,0.09,1.2,47,0.5,1.798,0.826,0.294,10,28.35
"BABYFOOD,CORN & SWT POTATOES,STR",82.62,68,1.26,0.28,0.61,15.23,1.8,4,18,0.31,10,29,154,14,0.19,0.051,0,1.1,5,0.018,0.041,0.444,0.323,0.06,14,0,14,14,10.2,0.01,2496,126,1,12,1488,3,0,215,0.51,0,0,0.6,0.053,0.071,0.123,1,28.35
"BABYFOOD,YOG,WHL MILK,W/ FRUIT,MULTIG CRL & ADD DHA FORT",79.16,98,3.4,3.53,0.69,13.22,0.3,11.46,107,0.15,15,95,149,41,0.59,0.023,0.101,2.8,1.4,0.047,0.129,0.119,0.354,0.034,8,0,8,8,14.2,0.32,86,24,23,0,5,0,0,6,0.07,0.1,3,0.3,1.84,0.916,0.367,14,31
"BABYFOOD,MSHD CHEDDAR POTATOES&BROCCOLI,TODDLER",88.97,48,1.11,1.47,0.98,7.47,1.2,1.17,20,0.16,8,24,118,176,0.16,0.06,0.056,0.5,1.5,0.03,0.02,0.419,0.194,0.089,6,0,6,6,5.8,0.01,84,13,11,2,28,0,0,98,0.09,0,0,8.1,0.875,0.37,0.092,4,170
"BABYFOOD,FORT CRL BAR,FRUIT FILLING",14,344,5.43,5.3,6.64,68.63,1.7,42,1053,13.16,19,247,180,157,0.59,0.082,0.461,14.1,2.4,0.921,1.053,11.842,0.345,1.105,65,48,17,98,13.9,0.19,277,14,0,0,166,0,0,33,0.9,0,0,4.1,0.453,3.107,1.541,1,19
"BABYFOOD,YOGU,WHL MILK,W/ FRUI,MULTIGRA CRL & ADD IRON FORT",80.21,92,3.05,3.08,0.65,13,0.6,11.46,98,4.18,15,86,143,38,0.54,0.031,0.064,2.4,3.6,0.048,0.12,0.119,0.333,0.036,7,0,7,7,13.4,0.29,82,22,21,0,7,1,0,13,0.09,0,2,0.9,1.582,0.74,0.405,10,16
"BABYFOOD,BABY MUM MUM RICE BISCUITS",2.42,391,12.5,0.87,0.99,83.21,0,12.5,0,0,47,127,504,313,0.65,0.156,0.732,8,0,0.174,0.037,2.896,0.623,0.571,14,0,14,14,21.3,0,1,0,0,0,0,0,0,0,0.17,0,0,0,0.238,0.224,0.255,0,8
"BABYFOOD,GERBER,BANANA W/ ORANGE MEDLEY",77.91,86,1.06,0,0.62,20.41,2.1,14.27,0,0.23,18,19,265,10,0.12,0.099,0.156,0.7,24.5,0.033,0.057,0.654,0.265,0.232,31,0,31,31,8.8,0,557,28,0,15,322,8,1,28,0.49,0,0,2.3,0,0,0,0,
"BABYFOOD,FINGER SNACKS,GERB,GRADUAT,LIL CRUNCHI - MILD CHEDD",1.64,513,8.26,27.76,4.73,57.61,5.2,1.6,789,24.15,85,661,244,623,25.43,0.124,0.448,10.1,0,0.117,0.173,1.523,0.34,0.428,20,0,20,20,15.8,0.7,88,4,0,7,31,37,0,660,14.67,0,0,1.4,5.2,7.093,11.678,0,
"BABYFOOD,BANANA JUC W/LOFAT YOGURT",78.5,89,2.5,0.8,0.66,17.54,0.4,13.28,79,0.2,10,65,160,37,0.14,0.03,,1.6,33.9,0.03,0.1,0.27,,0.12,6,0,6,6,11.4,0.43,28,6,5,3,5,0,0,16,0.05,0,1,0.4,0.517,0.219,0.022,3,31.5
"BABYFOOD,MXD FRUIT JUC W/LOFAT YOGURT",81.5,76,2.4,0.8,0.62,14.68,0.4,10.8,81,0.2,10,60,137,36,0.14,0.03,,1.3,33.9,0.04,0.1,0.16,,0.05,6,0,6,6,8.2,0.43,28,5,5,0,3,8,0,18,0.03,0,1,0.2,0.517,0.219,0.022,3,31.5
"BABYFOOD,APPL YOGURT DSSRT,STR",77.9,96,0.8,1.6,0.2,19.5,0.5,12.02,6,0,15,31,70,20,0.28,0.05,,0.7,35.1,1.56,0.05,0,,0.02,9,0,9,9,5.4,0.5,24,3,2,0,7,5,0,7,0.02,0,0,0.2,1.034,0.438,0.044,6,15
"BABYFOOD,JUC,APPLE-SWEET POTATO",87.9,48,0.3,0.1,0.29,11.4,0.5,9.6,15,0.3,7,14,137,5,0.08,0.032,,0.1,34.1,0.01,0.03,0.1,,0.07,3,0,3,3,4.9,0,3081,154,0,0,1849,0,0,6,0.34,0,0,0.7,0.03,0.01,0.05,0,30.8
"BABYFOOD,JUC,ORANGE-CARROT",89.1,43,0.5,0.1,0.25,9.9,0.4,8.4,16,0.2,10,19,174,10,0.07,0.044,,0.1,34.1,0.06,0.05,0.21,,0.05,39,0,39,39,6.5,0,1880,94,0,395,863,135,0,135,0.29,0,0,1.5,0.01,0.01,0.03,0,30.8
"BABYFOOD,VEG&BROWN RICE,STR",84.1,69,1.9,1.5,0.43,12.1,1.1,2.39,14,0.4,15,33,135,14,0.22,0.08,,1.2,0.3,0.05,0.05,1.1,,0.05,16,0,16,16,15.2,0,150,8,0,33,73,0,1,550,0.15,0,0,13.4,0.14,0.97,0.32,0,230
"BABYFOOD,PEAS&BROWN RICE",84.1,64,3.4,0.5,0.51,11.49,2.5,2.89,14,1.5,25,52,93,6,0.46,0.08,,1.2,3,0.1,0.08,1.4,,0.06,16,0,16,16,14.7,0,390,19,0,11,228,0,0,1261,0.07,0,0,12.6,0.1,0.18,0.18,0,230
"BABYFOOD,BKD PRODUCT,FINGER SNACKS CRL FORT",3.7,421,6.4,9.9,3.32,76.68,2.3,28,400,22.5,27,709,114,214,4,0.22,,37.5,10,1.4,1.6,11.25,,0.05,114,95,18,180,22.9,0,0,0,0,0,0,0,0,11,3.9,0,0,15,1.646,3.13,3.638,0,1.7
"BABYFOOD,CRL,BROWN RICE,DRY,INST",1,406,8.7,3,1.32,85.98,6.5,0.72,55,47.6,28,272,386,12,0,0.368,,23.4,0,0.93,0.17,16,,0.98,15,0,15,15,33.4,0,0,0,0,0,0,0,0,0,0.65,0,0,0.7,0.61,1.085,1.072,0,3.7
"BABYFOOD,GRN BNS&TURKEY,STR",87.5,51,4.1,1.5,1.55,5.35,1.4,1.39,31,0.7,22,56,188,11,0.6,0.048,,3.2,2.2,0.03,0.11,1.14,,0.08,29,0,29,29,,0.25,629,31,0,0,377,0,0,637,0.45,,,14.8,0.5,0.27,0.42,11,14
"BABYFOOD,CARROTS,TODDLER",93.5,26,0.6,0.3,0.37,5.23,2.3,2.5,19,0.2,6,21,129,48,0.2,0.081,,0.8,0.7,0.02,0.03,0.25,,0.05,7,0,7,7,5,0,14710,736,0,3340,7156,0,1,167,0.59,0,0,7.9,0.052,0.012,0.148,0,28.35
"BABYFOOD,DSSRT,BANANA PUDD,STR",83.5,68,1,0.8,0.56,14.14,0.8,10.55,11,0.3,5,34,90,54,0.12,0.04,,1.1,12,0.01,0.06,0.16,,0.13,6,0,6,6,10.7,0.01,19,1,0,7,8,0,0,19,0.07,0.1,5,0.2,0.264,0.277,0.111,29,15
"BABYFOOD,FRUIT,TUTTI FRUTTI,STR",83.5,66,0.4,0.3,0.32,15.48,0.6,9.29,15,0.2,4,17,46,25,0.8,0.02,,0.4,12.4,0.02,0.02,0.1,,0.02,3,0,3,3,3.1,0.01,133,7,0,1,35,89,0,21,0.11,0,0,0.4,0.087,0.113,0.043,15,15
"BABYFOOD,FRUIT,TUTTI FRUTTI,JR",82.9,69,0.4,0.4,0.3,16,0.4,9.41,14,0.3,4,28,47,17,0.19,0.2,,0.4,7.2,0.03,0.02,0.08,,0.02,3,0,3,3,3.5,0.01,199,10,0,1,52,134,0,25,0.15,0,0,0.6,0.11,0.148,0.061,15,15
"BABYFOOD,DINNER,CHICK&RICE",88,51,1.6,0.9,0.3,9.2,1.1,0.55,18,0.2,8,20,60,25,0.25,0.025,,3,1,0.01,0.02,0.3,,0.03,3,0,3,3,6.7,0.1,1170,58,0,260,571,0,0,105,0.11,0,1,1.8,0.211,0.392,0.188,10,16
"BABYFOOD,DINNER,CHICK&NOODLE W/VEG,TODD",85.3,66,3.8,1.7,0.31,8.89,0.6,0.82,11,0.4,10,42,95,194,0.41,0.02,,3.7,1.7,0.04,0.05,1.23,,0.06,9,4,5,12,11.2,0.14,1950,98,1,431,952,0,0,211,0.19,0,2,3.3,0.461,0.632,0.392,28,16
